Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2023-05-02 08:53:38,Ampol Rivervale 55533 F,AUD,-69.89,,,AUD,-69.89,-47.15736368825,,
2023-05-02 08:36:23,AUD Deposit,AUD,250.0,,,AUD,250.0,168.68423125,,
2023-04-30 19:27:01,Netflix.Com,AUD,-22.99,,,AUD,-22.99,-15.51220190575,,
2023-04-30 10:23:23,Smp*Maruzzella,AUD,-70.65,,,AUD,-70.65,-47.67016375125,,
2023-04-30 07:57:52,Bali Beautique Spa,AUD,-185.0,,,AUD,-185.0,-124.826331125,,
2023-04-30 07:36:36,AUD Deposit,AUD,300.0,,,AUD,300.0,202.4210775,,
2023-04-30 05:23:39,Woolworths/Belmont Forum,AUD,-36.2,,,AUD,-36.2,-24.425476685,,
2023-04-30 05:01:24,Aldi Stores   Cloverda,AUD,-56.65,,,AUD,-56.65,-38.22384680125,,
2023-04-30 04:46:50,Coles 4824,AUD,-11.0,,,AUD,-11.0,-7.422106175,,
2023-04-30 04:40:44,Family Fresh Market,AUD,-25.4,,,AUD,-25.4,-17.138317895,,
2023-04-30 03:40:11,Nepaluluru Pty Ltd,AUD,-49.6,,,AUD,-49.6,-33.46695148,,
2023-04-29 07:20:52,Cafe Zamia Kings Par,AUD,-30.3,,,AUD,-30.3,-20.4445288275,,
2023-04-29 02:22:15,Tempayan,AUD,-39.0,,,AUD,-39.0,-26.314740075,,
2023-04-29 01:37:14,AUD Deposit,AUD,250.0,,,AUD,250.0,168.68423125,,
2023-04-27 10:51:06,Telco,AUD,-30.0,,,AUD,-30.0,-20.24210775,,
2023-04-23 08:14:44,The Jerky Co Whitfor,AUD,-30.58,,,AUD,-30.58,-20.6334551665,,
2023-04-23 08:08:08,Woolworths/Belmont Forum,AUD,-18.55,,,AUD,-18.55,-12.51636995875,,
2023-04-23 07:48:49,Family Fresh Market,AUD,-20.61,,,AUD,-20.61,-13.90632802425,,
2023-04-23 07:29:45,Aldi Stores   Cloverda,AUD,-34.95,,,AUD,-34.95,-23.58205552875,,
2023-04-22 09:40:35,Tao Cafe Victoria Park,AUD,-73.0,,,AUD,-73.0,-49.255795525,,
2023-04-20 09:20:32,Rise Minimart,AUD,-2.5,,,AUD,-2.5,-1.6868423125,,
